S.No, Name , ratings
1,Lady Bird (2017), 99%
2,Get Out (2017), 99%
3,Dunkirk (2017), 92%
4,Coco (2017), 97%
5,Wonder Woman (2017), 92%
6,The Big Sick (2017), 98%
7,Logan (2017), 93%
8,The Shape of Water (2017), 92%
9,The Florida Project (2017), 96%
10,Baby Driver (2017), 93%
11,Thor: Ragnarok (2017), 92%
12,Star Wars: The Last Jedi (2017), 90%
13,Three Billboards Outside Ebbing, Missouri (2017), 92%
14,War for the Planet of the Apes (2017), 93%
15,Spider-Man: Homecoming (2017), 92%
16,I Am Not Your Negro (2017), 98%
17,Hidden Figures (2017), 93%
18,Logan Lucky (2017), 93%
19,The Salesman (Forushande) (2017), 96%
20,The Disaster Artist (2017), 91%
21,Faces Places (Visages, villages) (2017), 99%
22,My Life as a Zucchini (Ma vie de courgette) (2017), 98%
23,Blade Runner 2049 (2017), 87%
24,God's Own Country (2017), 99%
25,Mudbound (2017), 96%
26,City of Ghosts (2017), 99%
27,BPM (Beats Per Minute) (120 battements par minute) (2017), 98%
28,The Lego Batman Movie (2017), 90%
29,Lucky (2017), 98%
30,Kedi (2017), 98%
31,After the Storm (Umi yori mo mada fukaku) (2017), 97%
32,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017), 100%
33,The Work (2017), 100%
34,Jane (2017), 98%
35,The Happiest Day in the Life of Olli Mäki (Hymyilevä mies) (2017), 100%
36,Dawson City: Frozen Time (2017), 100%
37,Columbus (2017), 98%
38,A Ghost Story (2017), 91%
39,Strong Island (2017), 100%
40,Dolores (2017), 100%
41,Menashe (2017), 97%
42,Your Name. (Kimi No Na Wa.) (2017), 97%
43,Good Time (2017), 92%
44,The Red Turtle (La tortue rouge) (2017), 94%
45,Graduation (Bacalaureat) (2017), 95%
46,Truman (2017), 98%
47,I, Daniel Blake (2017), 93%
48,In This Corner of the World (Kono sekai no katasumi ni) (2017), 98%
49,Whose Streets? (2017), 97%
50,Quest (2017), 98%
51,Dina (2017), 98%
52,Step (2017), 96%
53,Trophy (2017), 98%
54,It (2017), 85%
55,The Last Laugh (2017), 98%
56,Stronger (2017), 92%
57,John Wick: Chapter 2 (2017), 89%
58,Bombshell: The Hedy Lamarr Story (2017), 96%
59,The Meyerowitz Stories (New and Selected) (2017), 92%
60,Guardians of the Galaxy Vol. 2 (2017), 83%
61,Thelma (2017), 93%
62,Ex Libris: New York Public Library (2017), 97%
63,Raw (2017), 91%
64,1945 (2017), 96%
65,The B-Side: Elsa Dorfman's Portrait Photography (2017), 96%
66,I Called Him Morgan (2017), 96%
67,Lady Macbeth (2017), 90%
68,The Breadwinner (2017), 94%
69,A Quiet Passion (2017), 91%
70,It Comes At Night (2017), 88%
71,The Women's Balcony (Ismach Hatani) (2017), 96%
72,A Monster Calls (2017), 86%
73,20th Century Women (2017), 88%
74,Darkest Hour (2017), 85%
75,American Made (2017), 86%
76,Wind River (2017), 87%
77,The Lost City of Z (2017), 87%
78,Prevenge (2017), 94%
79,Battle of the Sexes (2017), 85%
80,Their Finest (2017), 90%
81,Girls Trip (2017), 90%
82,Citizen Jane: Battle for the City (2017), 94%
83,Gook (2017), 94%
84,Frantz (2017), 90%
85,Abacus: Small Enough to Jail (2017), 93%
86,Human Flow (2017), 91%
87,Brawl in Cell Block 99 (2017), 92%
88,Land of Mine (Under Sandet) (2017), 91%
89,Silence (2017), 84%
90,Maudie (2017), 89%
91,Okja (2017), 86%
92,The Other Side of Hope (Toivon tuolla puolen) (2017), 91%
93,Detroit (2017), 83%
94,All This Panic (2017), 93%
95,School Life (2017), 93%
96,Icarus (2017), 93%
97,Clash (Eshtebak) (2017), 93%
98,The Son of Joseph (Le fils de Joseph) (2017), 93%
99,Endless Poetry (Poesía Sin Fin) (2017), 92%
100,Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer) (2017), 89%
