S.No, Name , ratings
1,Argo (2012), 96%
2,Skyfall (2012), 92%
3,Marvel's The Avengers (2012), 92%
4,Looper (2012), 93%
5,Jiro Dreams of Sushi (2012), 99%
6,The Cabin in the Woods (2012), 92%
7,Moonrise Kingdom (2012), 93%
8,Wake in Fright (2012), 100%
9,How to Survive a Plague (2012), 99%
10,This Is Not a Film (2012), 98%
11,The Invisible War (2012), 99%
12,Monsieur Lazhar (2012), 97%
13,Silver Linings Playbook (2012), 92%
14,Amour (2012), 93%
15,The Kid with a Bike (2012), 96%
16,The Dark Knight Rises (2012), 87%
17,The Sessions (2012), 93%
18,West of Memphis (2012), 96%
19,Lincoln (2012), 90%
20,The Loved Ones (2012), 98%
21,Beware Of Mr. Baker (2012), 98%
22,Ai Weiwei: Never Sorry (2012), 97%
23,Undefeated (2012), 96%
24,Mea Maxima Culpa: Silence In The House Of God (2012), 98%
25,The Island President (2012), 98%
26,The Secret World of Arrietty (2012), 94%
27,Oslo, August 31st (2012), 97%
28,The Imposter (2012), 95%
29,Marley (2012), 95%
30,Searching for Sugar Man (2012), 94%
31,Chasing Ice (2012), 96%
32,Sister (2012), 96%
33,The Queen of Versailles (2012), 94%
34,Brooklyn Castle (2012), 96%
35,Django Unchained (2012), 87%
36,Headhunters (2012), 93%
37,5 Broken Cameras (2012), 95%
38,Marina Abramovic: The Artist Is Present (2012), 95%
39,Diana Vreeland: The Eye Has To Travel (2012), 94%
40,Holy Motors (2012), 91%
41,The House I Live In (2012), 94%
42,Life of Pi (2012), 87%
43,Barbara (2012), 93%
44,The Central Park Five (2012), 93%
45,First Position (2012), 93%
46,I Wish (2012), 93%
47,Safety Not Guaranteed (2012), 90%
48,Elena (2012), 93%
49,The Hunger Games (2012), 84%
50,Frankenweenie (2012), 87%
51,Bernie (2012), 89%
52,Farewell, My Queen (2012), 92%
53,Once Upon a Time in Anatolia (2012), 92%
54,Turn Me On, Dammit! (2012), 93%
55,Side by Side (2012), 92%
56,Compliance (2012), 89%
57,The Master (2012), 85%
58,Wreck-it Ralph (2012), 87%
59,ParaNorman (2012), 87%
60,Beasts of the Southern Wild (2012), 86%
61,Footnote (2012), 90%
62,21 Jump Street (2012), 85%
63,Arbitrage (2012), 87%
64,A Royal Affair (2012), 89%
65,The Pirates! Band of Misfits (2012), 87%
66,Keep the Lights On (2012), 90%
67,In Darkness (2012), 88%
68,Robot & Frank (2012), 87%
69,The Perks of Being a Wallflower (2012), 86%
70,The Raid: Redemption (2012), 86%
71,End of Watch (2012), 85%
72,Chronicle (2012), 85%
73,Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012), 90%
74,Polisse (2012), 88%
75,The Turin Horse (2012), 89%
76,Neil Young Journeys (2012), 88%
77,Bully (2012), 85%
78,Seven Psychopaths (2012), 82%
79,Middle of Nowhere (2012), 88%
80,Boy (2012), 87%
81,Starlet (2012), 88%
82,Chico & Rita (2012), 87%
83,The Big Picture (2012), 88%
84,Tabu (2012), 87%
85,Smashed (2012), 85%
86,Rundskop (Bullhead) (2012), 86%
87,Miss Bala (2012), 86%
88,Your Sister's Sister (2012), 83%
89,The Impossible (2012), 81%
90,Sleepwalk With Me (2012), 84%
91,De rouille et d'os (Rust and Bone) (2012), 82%
92,Brave (2012), 79%
93,Magic Mike (2012), 80%
94,The Grey (2012), 80%
95,Declaration of War (2012), 86%
96,Snabba cash (Easy Money) (2012), 85%
97,Haywire (2012), 80%
98,Crazy Horse (2012), 85%
99,Flight (2012), 78%
100,Detropia (2012), 85%
