S.No, Name , ratings
1,Toy Story 2 (1999), 100%
2,The Iron Giant (1999), 96%
3,The Insider (1999), 96%
4,Todo sobre mi madre (All About My Mother) (1999), 98%
5,Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999), 100%
6,The Straight Story (1999), 96%
7,Three Kings (1999), 94%
8,Being John Malkovich (1999), 93%
9,Election (1999), 93%
10,Princess Mononoke (Mononoke-hime) (1999), 92%
11,American Beauty (1999), 88%
12,Run Lola Run (1999), 93%
13,The Limey (1999), 93%
14,American Movie (1999), 94%
15,Galaxy Quest (1999), 90%
16,The Blair Witch Project (1999), 87%
17,Go (1999), 91%
18,The Matrix (1999), 87%
19,October Sky (1999), 90%
20,Tarzan (1999), 88%
21,Buena Vista Social Club (1999), 91%
22,Topsy-Turvy (1999), 89%
23,The Sixth Sense (1999), 85%
24,Show Me Love (Fucking Åmål) (1999), 90%
25,Girl on the Bridge (La Fille sur le Pont) (1999), 90%
26,Boys Don't Cry (1999), 88%
27,Himalaya (L'Enfance d'un Chef) (Caravan) (1999), 89%
28,Magnolia (1999), 83%
29,Felicia's Journey (1999), 88%
30,The Talented Mr. Ripley (1999), 83%
31,Liberty Heights (1999), 87%
32,Cookie's Fortune (1999), 86%
33,The Hurricane (1999), 83%
34,An Ideal Husband (1999), 85%
35,Trekkies (1999), 86%
36,Notting Hill (1999), 83%
37,Fight Club (1999), 79%
38,Open Your Eyes (Abre los Ojos) (1999), 85%
39,The Green Mile (1999), 80%
40,Bowfinger (1999), 81%
41,South Park: Bigger, Longer & Uncut (1999), 81%
42,Tumbleweeds (1999), 82%
43,Beyond the Mat (1999), 82%
44,Audition (Ôdishon) (1999), 81%
45,Office Space (1999), 79%
46,Happy, Texas (1999), 81%
47,Jesus' Son (1999), 81%
48,Eyes Wide Shut (1999), 74%
49,Get Real (1999), 79%
50,Sweet and Lowdown (1999), 78%
51,Mansfield Park (1999), 77%
52,Twin Falls Idaho (1999), 78%
53,Lock, Stock and Two Smoking Barrels (1999), 77%
54,The Adventures of Elmo in Grouchland (1999), 77%
55,Besieged (1999), 75%
56,The Cider House Rules (1999), 71%
57,Existenz (1999), 73%
58,Bringing Out the Dead (1999), 71%
59,The Red Violin (Le violon rouge) (1999), 74%
60,The Best Man (1999), 72%
61,The Dinner Game (Le Dîner de cons) (1999), 73%
62,The Thomas Crown Affair (1999), 70%
63,Dick (1999), 71%
64,Sleepy Hollow (1999), 68%
65,Analyze This (1999), 69%
66,Dogma (1999), 67%
67,Stir of Echoes (1999), 67%
68,Titus (1999), 68%
69,William Shakespeare's 'A Midsummer Night's Dream' (1999), 67%
70,Stuart Little (1999), 66%
71,The End of the Affair (1999), 67%
72,Man on the Moon (1999), 63%
73,A Map of the World (1999), 65%
74,Music of the Heart (1999), 63%
75,Cradle Will Rock (1999), 63%
76,Arlington Road (1999), 62%
77,American Pie (1999), 60%
78,EDtv (1999), 64%
79,Ride With the Devil (1999), 63%
80,Star Wars: Episode I - The Phantom Menace (1999), 55%
81,Muppets From Space (1999), 63%
82,Mystery Men (1999), 60%
83,10 Things I Hate About You (1999), 62%
84,The Wood (1999), 61%
85,The Mummy (1999), 57%
86,Never Been Kissed (1999), 57%
87,Blast From the Past (1999), 57%
88,Deep Blue Sea (1999), 56%
89,Mumford (1999), 56%
90,Girl, Interrupted (1999), 54%
91,The World Is Not Enough (1999), 51%
92,Payback (1999), 54%
93,Any Given Sunday (1999), 51%
94,The Muse (1999), 53%
95,Angela's Ashes (1999), 52%
96,Summer of Sam (1999), 51%
97,True Crime (1999), 54%
98,Austin Powers: The Spy Who Shagged Me (1999), 51%
99,Outside Providence (1999), 51%
100,Life (1999), 50%
