S.No, Name , ratings
1,The Wizard of Oz (1939), 99%
2,Citizen Kane (1941), 100%
3,Get Out (2017), 99%
4,The Third Man (1949), 99%
5,Mad Max: Fury Road (2015), 97%
6,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920), 100%
7,Inside Out (2015), 98%
8,All About Eve (1950), 100%
9,Moonlight (2016), 98%
10,E.T. The Extra-Terrestrial (1982), 98%
11,Metropolis (1927), 99%
12,Spotlight (2015), 97%
13,Modern Times (1936), 100%
14,It Happened One Night (1934), 98%
15,Casablanca (1942), 97%
16,The Godfather (1972), 98%
17,Singin' in the Rain (1952), 100%
18,Psycho (1960), 97%
19,Wonder Woman (2017), 92%
20,Laura (1944), 100%
21,The Big Sick (2017), 98%
22,North by Northwest (1959), 100%
23,La Grande illusion (Grand Illusion) (1938), 97%
24,12 Years a Slave (2013), 96%
25,A Hard Day's Night (1964), 98%
26,The Battle of Algiers (La Battaglia di Algeri) (1967), 99%
27,The Maltese Falcon (1941), 100%
28,Boyhood (2014), 97%
29,Gravity (2013), 96%
30,Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922), 97%
31,Snow White and the Seven Dwarfs (1937), 98%
32,King Kong (1933), 98%
33,Logan (2017), 93%
34,Repulsion (1965), 100%
35,Zootopia (2016), 98%
36,Argo (2012), 96%
37,The Adventures of Robin Hood (1938), 100%
38,Sunset Boulevard (1950), 98%
39,Arrival (2016), 94%
40,Star Wars: Episode VII - The Force Awakens (2015), 93%
41,Rear Window (1954), 100%
42,The Bride of Frankenstein (1935), 100%
43,La La Land (2016), 92%
44,Toy Story 3 (2010), 99%
45,The Philadelphia Story (1940), 100%
46,Toy Story 2 (1999), 100%
47,Bicycle Thieves (Ladri di biciclette) (1949), 98%
48,Baby Driver (2017), 93%
49,Alien (1979), 97%
50,Seven Samurai (Shichinin no Samurai) (1956), 100%
51,Selma (2015), 98%
52,Taxi Driver (1976), 98%
53,All Quiet on the Western Front (1930), 100%
54,M (1931), 100%
55,The Treasure of the Sierra Madre (1948), 100%
56,Up (2009), 98%
57,12 Angry Men (Twelve Angry Men) (1957), 100%
58,Touch of Evil (1958), 96%
59,The 400 Blows (Les Quatre cents coups) (1959), 100%
60,The Jungle Book (2016), 95%
61,A Streetcar Named Desire (1951), 98%
62,The Night of the Hunter (1955), 98%
63,Manchester by the Sea (2016), 95%
64,Hell or High Water (2016), 97%
65,Army of Shadows (L'Armée des ombres) (1969), 97%
66,The Conformist (1970), 100%
67,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964), 99%
68,Vertigo (1958), 96%
69,Rosemary's Baby (1968), 99%
70,Lawrence of Arabia (1962), 98%
71,Brooklyn (2015), 97%
72,The Babadook (2014), 98%
73,War for the Planet of the Apes (2017), 93%
74,Finding Nemo (2003), 99%
75,The Dark Knight (2008), 94%
76,Rebecca (1940), 100%
77,Spider-Man: Homecoming (2017), 92%
78,The Good, the Bad and the Ugly (1966), 97%
79,Frankenstein (1931), 100%
80,Rashômon (1951), 98%
81,The Wrestler (2008), 98%
82,L.A. Confidential (1997), 99%
83,The Wages of Fear (1953), 100%
84,Pinocchio (1940), 100%
85,Open City (1946), 100%
86,Jaws (1975), 97%
87,Tokyo Story (Tôkyô monogatari) (1953), 100%
88,On the Waterfront (1954), 98%
89,Finding Dory (2016), 94%
90,It Follows (2015), 97%
91,I Am Not Your Negro (2017), 98%
92,Captain America: Civil War (2016), 91%
93,The Grapes of Wrath (1940), 100%
94,High Noon (1952), 96%
95,Carol (2015), 95%
96,Harry Potter and the Deathly Hallows - Part 2 (2011), 96%
97,Roman Holiday (1953), 98%
98,Moana (2016), 96%
99,The Last Picture Show (1971), 100%
100,The Hurt Locker (2009), 97%
