S.No, Name , ratings
1,L.A. Confidential (1997), 99%
2,The Sweet Hereafter (1997), 100%
3,Good Will Hunting (1997), 97%
4,Titanic (1997), 88%
5,The Full Monty (1997), 96%
6,Face/Off (1997), 92%
7,Men in Black (1997), 92%
8,Boogie Nights (1997), 93%
9,Ulee's Gold (1997), 94%
10,Mrs. Brown (1997), 94%
11,Chasing Amy (1997), 88%
12,In the Company of Men (1997), 89%
13,The Spanish Prisoner (1997), 88%
14,Donnie Brasco (1997), 88%
15,Jackie Brown (1997), 86%
16,Affliction (1997), 88%
17,Wag the Dog (1997), 85%
18,As Good as It Gets (1997), 84%
19,Anastasia (1997), 85%
20,The Ice Storm (1997), 84%
21,Rosewood (1997), 85%
22,Hercules (1997), 83%
23,Scream 2 (1997), 81%
24,The Rainmaker (1997), 83%
25,Life Is Beautiful (La Vita è bella) (1997), 80%
26,Gattaca (1997), 82%
27,Grosse Pointe Blank (1997), 80%
28,The Boxer (1997), 80%
29,Liar Liar (1997), 81%
30,Breakdown (1997), 80%
31,Soul Food (1997), 80%
32,Air Force One (1997), 78%
33,Private Parts (1997), 78%
34,Amistad (1997), 77%
35,The Butcher Boy (1997), 77%
36,Kundun (1997), 76%
37,Cop Land (1997), 73%
38,My Best Friend's Wedding (1997), 73%
39,The Game (1997), 73%
40,In & Out (1997), 72%
41,The Fifth Element (1997), 71%
42,Romy and Michele's High School Reunion (1997), 71%
43,Austin Powers: International Man of Mystery (1997), 70%
44,The Pillow Book (1997), 66%
45,The Devil's Advocate (1997), 66%
46,She's So Lovely (1997), 66%
47,Selena (1997), 65%
48,Contact (1997), 63%
49,Starship Troopers (1997), 63%
50,Zero Effect (1997), 63%
51,The Edge (1997), 61%
52,U-Turn (1997), 60%
53,Dream with the Fishes (1997), 60%
54,The Gingerbread Man (1997), 60%
55,Lost Highway (1997), 60%
56,Tomorrow Never Dies (1997), 57%
57,George of the Jungle (1997), 57%
58,Another Day in Paradise (1997), 57%
59,Alien Resurrection (1997), 55%
60,Con Air (1997), 55%
61,The Lost World - Jurassic Park (1997), 53%
62,Conspiracy Theory (1997), 53%
63,Volcano (1997), 48%
64,Picture Perfect (1997), 48%
65,Absolute Power (1997), 47%
66,Blues Brothers 2000 (1997), 46%
67,Fallen (1997), 40%
68,Anaconda (1997), 39%
69,I Know What You Did Last Summer (1997), 35%
70,The Saint (1997), 28%
71,Hard Rain (1997), 28%
72,Fathers' Day (1997), 25%
73,A Thousand Acres (1997), 23%
74,Jungle 2 Jungle (1997), 19%
75,Spawn (1997), 18%
76,Jingle All the Way (1997), 16%
77,Batman & Robin (1997), 10%
78,Speed 2 - Cruise Control (1997), 3%
79,Mortal Kombat: Annihilation (1997), 3%
