S.No, Name , ratings
1,Harry Potter and the Deathly Hallows - Part 2 (2011), 96%
2,The Artist (2011), 95%
3,A Separation (2011), 99%
4,Project Nim (2011), 98%
5,Moneyball (2011), 94%
6,Poetry (2011), 100%
7,The Muppets (2011), 95%
8,Le Havre (2011), 99%
9,The Interrupters (2011), 99%
10,Everyday Sunshine: The Story of Fishbone (2011), 100%
11,We Were Here (2011), 100%
12,Nostalgia for the Light (2011), 100%
13,Bill Cunningham New York (2011), 99%
14,Drive (2011), 93%
15,Hugo (2011), 94%
16,Mission: Impossible Ghost Protocol (2011), 93%
17,50/50 (2011), 94%
18,Cave of Forgotten Dreams (2011), 96%
19,Source Code (2011), 92%
20,13 Assassins (2011), 96%
21,Midnight in Paris (2011), 93%
22,Win Win (2011), 94%
23,Born To Be Wild (2011), 98%
24,Bridesmaids (2011), 90%
25,The Guard (2011), 95%
26,Tomboy (2011), 97%
27,Pina (2011), 95%
28,Weekend (2011), 95%
29,Coriolanus (2011), 93%
30,Pariah (2011), 94%
31,The Arbor (2011), 96%
32,Silent Souls (2011), 96%
33,Being Elmo: A Puppeteer's Journey (2011), 95%
34,Arthur Christmas (2011), 92%
35,The Descendants (2011), 89%
36,Take Shelter (2011), 92%
37,Incendies (2011), 93%
38,Martha Marcy May Marlene (2011), 90%
39,Knuckle (2011), 95%
40,Senna (2011), 92%
41,Tabloid (2011), 92%
42,Of Gods and Men (2011), 92%
43,Into The Abyss (2011), 92%
44,Attack the Block (2011), 90%
45,X-Men: First Class (2011), 86%
46,Winnie the Pooh (2011), 91%
47,The Four Times (Le Quattro Volte) (2011), 93%
48,King of Devil's Island (2011), 93%
49,Elite Squad: The Enemy Within (2011), 93%
50,Margin Call (2011), 89%
51,Rango (2011), 87%
52,The Girl with the Dragon Tattoo (2011), 86%
53,Corman's World: Exploits Of A Hollywood Rebel (2011), 92%
54,City of Life and Death (2011), 92%
55,Point Blank (2011), 91%
56,The Black Power Mixtape 1967-1975 (2011), 92%
57,Certified Copy (Copie Conforme) (2011), 89%
58,The Tree of Life (2011), 84%
59,Buck (2011), 89%
60,Contagion (2011), 84%
61,Beats Rhymes & Life: The Travels of a Tribe Called Quest (2011), 90%
62,Submarine (2011), 87%
63,Armadillo (2011), 90%
64,The Ides of March (2011), 84%
65,The Trip (2011), 88%
66,Cedar Rapids (2011), 86%
67,Super 8 (2011), 82%
68,Uncle Boonmee Who Can Recall His Past Lives (2011), 88%
69,Tinker Tailor Soldier Spy (2011), 83%
70,Meek's Cutoff (2011), 86%
71,Even the Rain (Meme La Pluie) (2011), 88%
72,Rise of the Planet of the Apes (2011), 81%
73,A Screaming Man (2011), 88%
74,The Hedgehog (2011), 87%
75,Terri (2011), 86%
76,Jane Eyre (2011), 84%
77,Beginners (2011), 84%
78,Warrior (2011), 83%
79,Puss in Boots (2011), 84%
80,My Week with Marilyn (2011), 83%
81,The Lincoln Lawyer (2011), 83%
82,Carancho (2011), 87%
83,A Better Life (2011), 85%
84,Bobby Fischer Against The World (2011), 87%
85,Captain America: The First Avenger (2011), 80%
86,Viva Riva! (2011), 86%
87,Circumstance (2011), 85%
88,Young Adult (2011), 81%
89,La princesse de Montpensier (The Princess of Montpensier) (2011), 85%
90,La tête en friche (My Afternoons with Margueritte) (2011), 85%
91,Mysteries of Lisbon (2011), 85%
92,Kung Fu Panda 2 (2011), 81%
93,Happy, Happy (2011), 85%
94,Trollhunter (2011), 83%
95,Tucker and Dale vs. Evil (2011), 83%
96,The Way (2011), 83%
97,Thor (2011), 77%
98,Potiche (2011), 82%
99,The Skin I Live In (2011), 80%
100,Tyrannosaur (2011), 83%
